Unnamed: 0,ArticleId,Text,Category
14,297,cage film third week u top nicolas cage movie national treasure topped u canada box office third week row. national treasure made $17.1m (£8.8m) ticket sale friday sunday according studio estimate taking total $110.2m (£56.7m). comedy christmas kranks starring tim allen jamie lee curtis second place. polar express entered third place jude law film closer made debut number six. oliver stone big-budget epic alexander starring colin farrell followed last week disappointing sixth-place opening slump seventh place taking $4.7m (£2.4m). critic savaged three-hour epic reportedly cost $150m (£77m) make. national treasure see cage character ben gate chase hidden fortune made disney studios. cage fourth collaboration jerry bruckheimer usually noted male-orientated action films.,2
16,1631,ukip mep attacked german empire uk independence party mep suggested germany saw eu empire cheaper using tank new documentary revealed. mike nattrass ukip deputy leader made comment audience meeting last september hartlepool by-election campaign. challenged remark denied accusing germany using eu cover 4th german reich . say german-bashing saying peace eu founding aim. meeting shown bbc 3 film ex-ukip mep robert kilroy-silk. former chat show host quit party earlier month calling joke. documentary showed mr nattrass apparently talking eu telling meeting: german big loser care project worthwhile. like empire spreading direction away germany hungary call sudetenland - czechoslovakia place like that. cheaper way roll tank in. tuesday told bbc news website think comment offensive worked happily meps different nationality european parliament. argued peace reason outdated eu economic justification. pointing germany trade interest country centre europe mr nattrass said: fact eu benefit germany benefit britain. german-bashing. truth. ukip spokesman said: mike passionate belief sometimes us excessively colourful language express them. documentary showed tension mr kilroy-silk fellow meps ukip took third place last year european elections. denied wanting leader october 2004 told bbc one breakfast frost programme aspired job. asked documentary maker lied leadership ambition mr kilroy-silk said: one thing said said time. trying helpful party wrong thing told truth. film also included footage row mr kilroy-silk mep nigel farage party leader roger knapman rumour resign ukip whip european parliament. mr kilroy-silk told left ukip group - move announced shortly meeting. told mr farage: tell lie nigel told many. trouble caused you. ukip official claim fact mr kilroy-silk mr farage briefed newspaper leaving group meps. later unguarded off-air comment television studio mr kilroy-silk heard saying irritated defending right-wing fascist nutter . mr kilroy-silk separately said argued ukip working group believed homosexuality sin. ukip spokesman said 40 meps group european parliament. broad spectrum - right-wing left-wing - shared belief unfeasibility eu . defend group religious belief argued right hold view - mr kilroy-silk right criticise arab states. london ukip mep gerard batten said: robert made variety comment ukip meps. course two side every story. robert say offered several position would given effective control party title leader. mr kilroy-silk launch parry veritas westminster wednesday.,0
17,942,cheaper chip mobile mobile phone chip combine modem computer processor one bit silicon instead two could make phone cheaper powerful. specially-designed chip developed texas instrument could drive cost making mobile capable 3d gaming 30-frame-a-second video. currently rich multimedia feature tend expensive handsets. technology omap-vox tested firm europe asia could appear end year. texas make computer chip half world mobile phone said keen make multimedia function like video gaming affordable. going drive meat-and-potatoes phone largest market share said doug rasor marketing vice president texas. chip also us much le power conventional chip said texas mean le strain mobile battery life. 50 million people mobile uk mobile operator keen encourage people move onto sophisticated handset more. texas keen cash third generation (3g) mobile technology offer high-speed network video streaming multimedia functions. face stiff competition like intel also looking provide better chip high-end mobiles. competition get people using 3g mobile grow next year almost uk operator launched third generation networks. recent survey sony ericsson predicted number 3g handset sold 2005 would double 2004 account 10% phone sold. many consumer still convinced though. recent survey said 4% mobile owner thinking upgrading 3g phones. many said confused different way pay phone vast array feature onboard. continued demand better chip industry continues develop new standard future networks. earlier january ntt docomo vodafone joined force develop next generation high-speed network known super 3g intended 10 time faster 3g services. first stage development completed 2007 date set commercial launch newly-designed omap-vox chip set announced ahead start major mobile industry conference 3gsm take place cannes france week.,3
18,1549,usher lead soul train shortlist chart-topping r&b star usher leading field year soul train award five nominations. singer whose album confession sold close eight million copy u alone already running eight grammy awards. newcomer ciara - recently beat elvis presley uk number one spot - four nomination alicia key three. soul train award ceremony take place hollywood 28 february. usher already swept board american music award four title including two best album awards. soul train nomination include best male r&b-soul album best male r&b-soul single confession part ii. usher work rapper ludacris & lil jon nomination best r&b-soul rap music video best r&b-soul rap dance cut song yeah! duet key boo earned pair nod best r&b-soul single. key album diary alicia key also best r&b-soul album female. song got received best single nomination female r&b-soul category. newcomer ciara four nomination include best female r&b-soul album best r&b-soul rap new artist. beyonce prince destiny child jill scott new edition received two nomination each. soul train music award started 18 year ago celebrates artist r&b hip-hop rap gospel music.,2
19,516,india deport bollywood actress india ordered deportation iranian-born model actress negar khan norway saying working illegally visa. khan raunchy role music video bollywood film past two years. distressed actress told medium driven straight airport routine appointment bombay immigration office. immigration official said warned visa last year. khan told indian news channel mobile phone: even letting go home get bags. clothes money me. give notice. know taking away like this. nothing wrong visa. say work here... allowing even call lawyer. bipin bihari deputy police chief bombay said khan sent back norway hold passport first available flight. visitor visa engaged several commercial venture said. issued notice last year view gone back norway returned year work. one khan biggest success steamy hindi song chadti jawani (rising youth). khan involved controversy topless photo alleged appeared norwegian magazine.,2
20,2215,bush budget seek deep cutback president bush presented 2006 budget cutting domestic spending bid lower record deficit projected peak $427bn (£230bn) year. $2.58 trillion (£1.38 trillion) budget submitted congress affect 150 domestic programme farming environment education health. foreign aid due rise 10% money treat hiv/aids reward economic political reform. military spending also set rise 4.8% reach $419.3bn. budget include cost running military operation iraq afghanistan administration expected seek extra $80bn congress later year. congress spend several month debating george w bush proposal. state department planned budget would rise $23bn - fraction defence department request - including almost $6bn assist u ally war terror . however administration keen highlight global effort tackle hiv/aids bbc jonathan beale report planned spending would almost double $3bn much money going african nations. mr bush also want increase amount given poorer country millennium challenge corporation. scheme set reward developing country embrace u considers good governance sound policies. yet mr bush proposed spending $3bn project well initial promise $5bn. key spending line missing proposal cost funding administration proposed radical overhaul social security pension programme many american rely retirement income. expert believe could require borrowing $4.5 trillion 20-year period. neither budget include cash purchase crude oil u emergency petroleum stockpile. concern level reserve created 1970s led rise oil price past year. bush administration instead continue fill reserve taking oil - rather cash - energy company drill federal leases. outline proposes reduction budget 12 23 government agency including cut 9.6% agriculture 5.6% environmental protection agency. spending plan year beginning 1 october banking healthy u economy boost government income 6.1% $2.18 trillion. spending forecast grow 3.5% $2.57 trillion. budget still tightest yet mr bush presidency. order sustain economic expansion must continue pro-growth policy enforce even greater spending restraint across federal government mr bush said budget message congress. mr bush promised halve u massive budget deficit within five years. deficit partly result massive tax cut early mr bush presidency key factor pushing u dollar lower. independent congressional budget office estimate shortfall could shrink little $200bn 2009 returning surplus seen late 1990s 2012. estimate depend tax cut made permanent line promise passed would sunset disappear 2010. republican however want stay place. figure also rely social security trust fund - money set aside cover swelling cost retirement pension - offset main budget deficit.,1
21,531,labour core support take stock tony blair told labour supporter back still hungry job prime minister - sum mood party spring conference gateshead electorate keener government labour party member dry assessment graham lane leader labour group newham council. problem according mr lane continuing division iraq foundation hospital tuition fee even voter apathy mr blair himself. new slogan. vote blair get brown. telling people doorstep. worry gone soon. friend saxon spence leader devon county labour group lay blame lack campaigning zeal one issue others. cannot underestimate impact war iraq. lost people local party key roles. two friend fired gordon brown speech saturday appeal core labour value social justice health education. real passion. think felt little jaded reminded u joined party first place said mr spence. walked stage would still clapping added mr lane. every brownite spring conference equally ardent fan mr blair. stephen douglas 26 wale said pm speech sunday: think bit turning point given roasting issues. guy still it. tony martin burnley said: first leader u two terms. bloke delivered us. malcolm shipley shipley said coming round right approach . katrina bull prospective parliamentary candidate said mr blair shown could rouse party grassroots: think every voter able spend time room tony way today problem turnout. emerged q&a session mr blair - tieless supremely ease - answered question posed via party website. party councillor nottingham agreed nothing wrong mr blair leadership - adamant campaigning strength party city strong ever. iraq insisted would factor voters. biggest problem got moment keep getting poll saying going run away election. might sound great create sense complacency among voter think greater problem iraq said nottingham city councillor brian parbutt. even mr blair vocal critic seemed agree one thing - master sort glossy high-profile campaigning become labour hallmark epitomised friday whistle-stop tour marginal seats. group shop steward swan hunter shipyard said facing redundancy could barely suppress anger mr blair failure saw shake tory leaning stand manufacturing north east. also scathing alleged benefit showpiece project conference venue sage centre heralded john prescott others weekend symbol labour success urban regeneration. good sage baltic got money entrance fee said terry telford. asked mr blair bravura performance friday men agreed brilliant . would doorstep pushing labour message come election time. fired election point complacency far see labour party. fired up. election said richie porterhouse. mr telford agreed added becoming increasingly difficult think answer people asked labour done north east door slammed face said. every activist spoke said proud believed labour achieved local community - new hospital school better life chance young people. problem faced said converting local feelgood factor votes. could least rely one secret weapon one activist put - tory leader michael howard.,0
23,1340,latin america see strong growth latin america economy grew 5.5% 2004 best performance since 1980 export registered best performance two decades. united nation economic commission latin america caribbean said region grew 5.5% year. inter-american development bank (iadb) said regional export reached $445.1bn (£227bn;331bn euros) 2004. doubt strength u recovery overheating chinese economy however pose risk 2005. organisation also warned high oil price raise risk either inflation recession. nevertheless economic commission latin america caribbean (eclac) still forecast growth 4% 2005. strong recovery country venezuela uruguay boosted overall performance region. eclac also said six largest latin american economy (argentina brazil chile colombia mexico venezuela) grew 3% second time 20 years. chinese u economic strength helped boost export strong demand agricultural mining products. fact latin american export china grew 34% $14bn. higher oil price also helped boost export mexico venezuela important oil exporters. regional bloc well free trade agreement u contributed region strong performance iadb said.,1
24,56,voucher cut winter death pensioner promised energy saving liberal democrat snow cold temperature continue. party say plan could save average pensioner £100 every year cut winter deaths. government give £200 winter fuel household people 60 £300 people 80. tory promise keep payments. lib dems would allow people swap winter fuel payment discount home insulation. shadow local government secretary ed davey said: current scheme helped older people new liberal democrat approach go much end scandal ten thousand old people dying winter cold every year. voucher designed let pensioner choose list approved energy supply would compete business offering discount home insulation schemes. plan would boost energy conservation say party - insulation could save £100 every year pensioner household using money intelligently present.,0
26,338,yukos heading back u court russian oil gas company yukos due u court thursday continues fight survival. firm process broken russian authority order pay $27bn (£14bn) tax bill. yukos filed bankruptcy u hoping use international business law halt forced sale key oil production unit yuganskneftegas. unit however sold $9.4bn state oil firm rosneft state auction disrupted. yukos lawyer say auction violated u bankruptcy law. company main shareholder vowed go company buy asset using every legal means. company want damage $20bn claiming yuganskneftegas sold le market value. judge letitia clark hear different motion including one deutsche bank throw chapter 11 bankruptcy filing. german lender one six bank barred providing financing gazprom russian state-owned company expected win auction yuganskneftegas. deutsche bank also advisor gazprom called u court overturn decision provide yukos bankruptcy protection. lifting injunction would remove uncertainty surround court case clarify deutsche bank business position analyst said. analyst optimistic yukos chance court. russian president vladimir putin country legal authority repeatedly said u jurisdiction yukos legal wranglings. top firm limited asset us. yukos small victory however bullish chance court. ability influence happens think said mike lake yukos spokesman. litigation risk real said credit suisse first boston analyst vadim mitroshin dispute russian authority partly driven president putin clampdown political ambition ex-yukos bos mikhail khodorkovsky. mr khodorkovsky jail charge fraud tax evasion.,1
29,521,fiat chief take steering wheel chief executive fiat conglomerate taken day-to-day control struggling car business effort turn around. sergio marchionne replaced herbert demel chief executive fiat auto mr demel leaving company. mr marchionne becomes fourth head business - expected make 800m euro ($1bn) loss 2004 - many years. fiat underperformed market europe last year seeing flat sales. car business made operating loss five last six year forced push back break-even target 2005 2006. management change part wider shake-up business following fiat resolution dispute general motors. part major restructuring fiat integrate maserati car company - currently owned ferrari - within operations. ferrari fiat owns majority stake could separately floated stock market either 2006 2007. mr marchionne joined company last year said fiat auto principal focus attention. made decision take post chief executive auto unit speed company recovery said. profound cultural transformation underway following management reorganisation delivered agile efficient structure added. although mr marchionne background car industry playing increasing role group activities. last year said series new model launched part group recovery plan boosted revenue much hoped. car business best known alfa romeo marque expected make loss 800m euro 2004. sale expected fall 2005 fiat said week exit unprofitable area rental car market. mr demel car industry veteran took helm november 2003 recruited former fiat chief executive giuseppe morchio. mr morchio made bid last year become chairman death president umberto agnelli. however rejected founding agnelli family mr morchio subsequently resigned. earlier week fiat reached agreement gm dissolve alliance could obliged gm buy italian firm outright. gm pay fiat $2bn part settlement.,1
30,1777,labour accused eu propaganda taxpayer subsidised propaganda exercise eu used lull british public false sense security say tories. shadow foreign secretary michael ancram told mp new white paper part trying soften opinion ahead referendum eu constitution. claim denied foreign secretary jack straw accused tory running scared debate. eu cooperation would help get better uk immigration control argued. mr straw used thursday common debate launch new white paper prospect eu 2005. security stability prosperity would key theme uk took chairmanship eu july said mr straw. africa climate change would also feature highly. said uk trying ensure future eu budget limited 1% europe economic output spent add value . mr straw promised continue ensure uk budget rebate secured 1984 margaret thatcher fully justified . like country veto change proposed area said. mr ancram condemned document foreign office say cost £2 500 design print deliver. reason government involved taxpayer subsidised propaganda exercise try sell new eu country advance forthcoming referendum general election asked. tory spokesman also criticised government claiming eu constitution would make europe easier understand. government last week publish commentary 500 page try explain easy simple constitution british people said. trying kid proposed question constitution referendum is: united kingdom approve treaty establishing constitution european union electoral commission thursday said satisfied question easy understand. government suggested referendum constitution could take place spring 2006 tory set campaign vote. mr ancram said minister prolonging uncertainty putting vote latest date possible. foreign secretary hit back saying tory attitude europe helped keep party power decade. mr straw argued cooperation european partner could bring level playing field immigration asylum controls. setting face thing added. liberal democrat sir menzies campbell said uk ignore need reform eu common agricultural policy. change particularly important developing country wanting access market argued. sir menzies among worried plan backed uk lift arm embargo imposed china tiananmen square massacre. mr straw said decision taken - chinese human right improved enough.,0
31,185,sony ware win innovation award sony taken prize top innovator annual award pc pro magazine. award taking risk product brave commitment good design. conferring award pc pro staff picked sony pcg-x505/p vaio laptop stunning piece engineering . electronics giant beat strong competition toshiba chip maker amd intel take gong. paul trotter news feature editor pc pro said several sony product helped take innovation award. said sony clie peg ux50 medium player swivel screen qwerty keyboard broke design rule yet . sony product helped included vaio w1 desktop computer ra-104 medium server. mr trotter said sony combining computer screen keyboard w1 likely widely copied future home pcs. company also become one first use organic led products. always inventing new technology sony never afraid innovate around various format said mr trotter. award decided pc pro staff contributor included one canon eos 300d digital camera wanted hardware category. microsoft medium player 10 took award wanted software. year 10th anniversary pc pro award split prize two sections. first chosen magazine writer consultant second voted readers. mr trotter said 13 000 people voted reliability service award twice many 2003. net-based memory video card shop crucial shared award online vendor year novatech.,3
32,2105,house price rebound say halifax uk house price increased 1.1% december first monthly rise since september halifax said. uk biggest mortgage lender said price rose 15.1% whole 2004 2.8% second half year. average price house uk stand £162 086 halifax said. survey seems fly face recent evidence uk housing market slowing substantially response interest rate rises. last week nationwide said house price fell 0.2% december annual inflation running three year low. tuesday figure bank england showed number mortgage approved uk fallen lowest level nearly decade. new loan november fell 77 000 85 000 october lowest rate since september 1995 bank england said. growth unsecured lending personal loan credit card also slowed last month. capital economics past predicted sharp fall uk house price branded halifax finding temporary surprise would reversed coming months. month month volatility halifax house price data distract fact clear downward trend house price capital economics statement said. expert believe five interest rate rise since november 2003 cutting borrower appetite debt. despite recording price rise december halifax survey concluded continuing sign genuine slowdown housing market. martin elli halifax chief economist said need revise bank prediction made last month price would fall 2% 2005. sound housing market fundamental continue underpin market 2005 ensuring market remains healthy house price fall slightly mr elli said. bank prediction 2% price drop come true first annual fall nine years. bank said recent pattern house price rising fastest north england continued december. north west yorkshire humber halifax said price rose 3% 1.2% two region respectively month. send scale price south east london fell 1.6% 0.5% respectively. biggest decline seen wale price fell 6.2% area experienced strong house price growth 2004. overall halifax said price final quarter 2004 0.1% higher previous quarter. smallest quarterly rise since second quarter 2000 bank said. result annual house price inflation dipped 20% final month 2004.,1
33,1556,u bank $515m sec settlement five bank america subsidiary agreed pay total $515m (£277m) settle investigation fraudulent trading share practices. u security exchange commission announced settlement latest industry-wide clean-up u mutual funds. sec also said brought fraud charge two ex-senior executive columbia distributor. columbia distributor part fleetboston bought boa last year. three ex-columbia executive agreed settlement sec. sec set task stamping mutual fund use market-timing form quick-fire short-term share trading harm interest small investor mutual fund particularly popular. last two year imposed penalty totalling nearly $2bn 15 funds. sec unveiled two separate settlement one covering boa direct subsidiary another business part fleetboston time. case said secret deal engage market timing mutual fund shares. sec agreed deal totalling $375m banc america capital management bacap distributor banc america securities. made $250m pay back gain market timing $125m penalties. paid damaged fund shareholders. separately sec said reached $140m deal - equally split penalty compensation - probe columbia management advisor (cam) columbia fund distributor (cfd) three ex-columbia executives. business became part boa snapped rival bank fleetboston $47bn merger last march. sec filed civil fraud charge boston federal court james tambone say headed cfd sale operation alleged second command robert hussey. sec pressing highest tier financial penalty pair multiple violation repayment personal gain injunction prevent future breach spokeswoman sec boston office told bbc. immediate comment men lawyers. sec settlement cam cfd included agreement three ex-managers peter martin erik gustafson joseph palombo paid personal financial penalty $50-100 000.,1
37,383,argentina venezuela oil deal argentina venezuela extended food-for-oil deal helped former overcome severe energy crisis last year. argentine president nestor kirchner venezuelan president hugo chavez signed deal buenos aire tuesday. last april argentina signed $240m agreement import venezuelan fuel exchange agricultural good deal extended. venezuela import cattle medicine medical equipment. last year argentina severe energy crisis forced president kirchner suspend gas export chile. argentina fear rising demand could spark another crisis want prevent signing deal. two country also formalised co-operation deal venezuelan energy firm pdvsa argentina enarsa. deal argentine market opened venezuelan investment. president chavez added brazil petrobras could join soon co-operation deal. president chavez ardent promoter concept south american oil company could include state-owned company venezuela argentina brazil bolivia. two president also agreed create television sur latin american network state-owned television channels.,1
38,1581,bookmaker back aviator oscar aviator tipped uk bookmaker favourite win best film award year oscars. ray star jamie foxx clear favourite best actor category million dollar baby hilary swank tipped win best actress prize. bookmaker predict cate blanchett named best supporting actress. william hill ladbrokes given aviator 4/9 8/13 odds winning best film million dollar baby second place 9/4. bet direct bet 365 also tip aviator majority bookmaker regarding finding neverland outsider. aviator also widely tipped win best director prize martin scorsese. british star clive owen second favourite william hill take best supporting actor award performance closer. favourite category sideways star thomas hayden church. vera drake star imelda staunton 5/1 odds winning best actress oscar bet 365 william hill ahead fellow uk star kate winslet odds 25/1 william hill. mike leigh outsider best director category vera drake position hold jointly ray taylor hackford bookmaker vc bet. year academy award handed hollywood 27 february. x factor judge sharon osbourne present sky television live coverage event. meanwhile clive owen best supporting actor nomination led bookmaker shorten odds becoming next james bond. moved 4/1 5/2 favourite play 007 hugh jackman ewan mcgregor joint second favourite. clive owen nomination sparked betting frenzy james bond fan feel heightened global recognition done chance becoming next bond world good said william hill spokesman rupert adams.,2
39,2167,u raise tv indecency fine u politician proposing tough new law aimed cracking indecency bad language u tv. fine $500 000 (£266 582) could imposed time broadcaster transmit nudity profanities. proposal unveiled house representative also seek revoke broadcaster licence three violation committed. exposure janet jackson breast last year superbowl landed cbs $550 000 (£293 264) fine. entertainer could also liable fine proposed legisation u politcians official federal communication commission (fcc). republican senator kansa sam brownbeck set call maximum $3 million (£1.6 million) fine repeated violations. current maximum fine stand $32 500 (£17 320) - 20 station cbs network penalised lesser amount jackson incident. republican politician fred upton chair committee responsible broadcasting said current fine cost business rather deterrent . last year janet jackson wardrobe malfunction encouraged fcc impose tougher rule u congress adjourned last year without agreeing new level fines. new figure decided new legislation put president bush. certain broadcaster like fox claim material carry violate indecency law protected right free speech.,2
